pdes,name,H,diameter,albedo,rot_per,e,a,i,om,w,ma
2291,Kevo,10.8,34.57,0.0708,11.971,.06597410965550569,3.044897567056233,24.48734920042583,169.5026581136207,297.8825666065667,37.0702200202935
2297,Daghestan,11.3,25.80,0.1057,7.75,.1283047209719539,3.172250269515178,1.610322848351534,140.4992075729015,92.28179318052712,273.102039716603
2304,Slavia,12.1,11.88,0.1372,3.14,.1331110286781848,2.61218729807939,13.59432760403983,195.9408474739616,59.42510095544028,147.1119023858399
2306,Bauschinger,12.1,21.27,0.1076,21.64,.06429509523854389,2.730897907950707,4.234596277799874,236.74919795405,103.8272192534421,243.3322510510423
2307,Garuda,11.0,41.22,0.0454,29.64,.05638604779379441,3.050134047609628,7.709534814935255,251.6535514741493,338.7047542602382,272.9721607320311
2308,Schilt,11.80,17.54,0.1094,9.759,.1719180080646431,2.550424538191879,14.1676710740967,34.32578524475792,233.2399802489792,235.900874981236
2309,"Mr. Spock",11.30,21.29,0.1177,6.722,.08861613671684808,3.012041400075435,10.98526448923001,157.2673265901439,271.9223519205136,357.9719114759865
2313,Aruna,12.90,15.54,0.0506,8.90,.1903414201053807,2.457047527409314,1.835467074712589,229.7511847023762,108.1597859631113,348.6581787655981
2315,Czechoslovakia,10.6,23.45,0.1686,10.0253,.1047005548405817,3.011022295547872,10.69983605923802,30.17686161993477,11.7786308382205,355.4758797702988
2320,Blarney,10.4,38.81,0.0740,5.097,.1275958046575642,3.172520373030789,11.5148709733929,118.3024707189548,260.1098330332516,88.30903112622042
2328,Robeson,12.8,11.8,0.1281,18.632,.1456853618364569,2.341179582041293,10.0159356955653,182.2021625546177,340.7078932771423,11.17292051565078
2332,Kalm,10.9,29.58,0.1162,22.8,.05886807385158441,3.076724350026441,14.54641023467074,61.25472197471068,242.2065394384943,211.4041336432416
2333,Porthan,11.8,21.59,0.0952,27.78,.1370757277037225,2.644649601791027,11.93808214958901,39.95904995965007,99.77576215311578,265.7305366227758
2345,Fucik,10.80,26.63,0.1192,17.12,.07833236071531761,3.014663019874674,9.154754713235516,303.8805002736348,135.9354732427069,135.2583905848786
2357,Phereclos,8.94,94.90,0.0521,14.394,.04398984003079397,5.208979519006509,2.668875422520218,179.2513906258565,75.53652044887838,178.788654500341
2363,Cebriones,9.11,81.84,0.0599,20.05,.0353455097641917,5.198257989949737,32.1351333804116,211.759879184826,57.46006767468272,176.7526021047443
2364,Seillier,11.3,18.4,0.2747,12.284,.1398670301106644,3.174023194460422,10.70949887865195,42.82143324958236,168.7871644874638,168.9518097148061
2368,Beltrovata,15.21,2.3,0.27,5.9,.4136466086611797,2.104871562704274,5.236291071085784,287.5328197267924,42.65298968650949,77.45141503772238
2378,Pannekoek,10.9,32.26,0.0891,11.8806,.1436805722420079,2.888208678849729,14.2469316332169,181.1805711075484,265.190246399284,145.4484068548149
2381,Landi,11.6,12.04,0.3358,3.989,.1691884861225552,2.60907353974956,13.62932470335638,150.2284935155254,277.9856066834958,111.1886409630194
2390,Nezarka,12.1,22.74,0.0450,11.349,.1458483894392107,2.619578863504001,10.34377576629809,325.9017865554614,354.7611738771157,44.41124985150059
2393,Suzuki,10.6,48.66,0.0471,9.31,.1894924685226129,3.23601739461609,10.214698217783,224.8019077701685,111.4155861014669,138.2939399080921
2421,Nininger,10.6,38.89,0.0559,6.08,.04517564594218601,3.233640590180228,10.18871389240623,77.67989553684924,275.4895766763706,59.29181009601228
2426,Simonov,11.6,24.04,0.0842,5.811,.1138086995461344,2.914943761694278,8.463354011353138,237.2229013267972,3.858532029350253,270.985078717714
2443,Tomeileen,10.2,30.89,0.1541,3.974,.05958491101878415,3.005005655217499,11.4554099006843,118.8330635421346,70.12469796420565,269.4877579460341
2448,Sholokhov,10.8,30.24,0.1337,10.061,.1167581193793637,2.791691981883471,17.68693508395757,131.1561042032523,73.02546032668221,138.6373467157629
2453,Wabash,11.2,26.1,0.0860,6.878,.1147269575848789,3.017341971562784,10.32168226605702,11.84167120384723,340.96682162268,281.4081300877169
2456,Palamedes,9.3,91.66,0.0304,7.24,.07412160195632365,5.129152971498177,13.90843713013227,327.4010920610916,95.61946413918416,123.5060092942497
2463,Sterpin,11.8,10.91,0.2831,13.44,.1551686042591975,2.59979813779393,13.38359690139151,178.9625181575802,264.6912345606844,150.2727465416562
2464,Nordenskiold,11.8,17.2,0.1496,5.209,.2041263961187618,3.179403230570149,.8481365012517835,8.62107951950815,77.93440158868189,205.6047595246046
2474,Ruby,11.6,17.79,0.1064,7.42,.2208578649344715,2.683485119103051,7.523829548591181,237.8237906946638,14.50108360901738,57.09982669118227
2483,Guinevere,10.80,44.17,0.0433,14.733,.2783256559838547,3.97240915691987,4.500037439358622,252.0796112173016,183.3379492199647,240.313507789469
2490,Bussolini,11.8,11.6,0.2268,24.,.1336692581628048,2.608272755383884,12.96448049391544,212.61827128,210.6005147874446,135.8302160301728
2494,Inge,10.7,55.61,0.0329,6.79,.06773090572200249,3.159403788770999,11.54078264651394,283.2863914644707,97.82467943930239,263.900378291679
2512,Tavastia,12.5,11.79,0.1057,7.296,.1207051180241362,2.243883144342249,6.378862855900239,69.5519569690823,14.75168698372536,178.0658552115858
